album_name,danceability,energy,loudness,speechiness,acousticness,instrumentalness,valence,tempo
10 000 Hz Legend,0.6575,0.42600000000000005,-6.552,0.04115,0.194,0.426,0.23149999999999998,132.244
10 Anos,0.48506666666666665,0.545,-7.674066666666667,0.05398666666666666,0.29632,0.0026668940000000004,0.23229333333333332,128.90933333333334
10 Anos  - Deluxe,0.385,0.8143333333333334,-5.079833333333333,0.061233333333333334,0.18908333333333335,4.333666666666667e-05,0.5635,134.06916666666666
10 Anos Ao Vivo Em Goiânia,0.5475,0.87875,-4.173625,0.0420625,0.0868375,8.15e-06,0.58,138.91675
10 Anos Na Praia,0.5648000000000001,0.6874,-8.1962,0.09825999999999999,0.6166,0.0,0.5922,114.6372
10 Anos de Louvor,0.6523749999999999,0.63725,-6.022375,0.041550000000000004,0.5825,2.875e-07,0.363875,116.20075
10 Años,0.658,0.607,-3.504,0.0351,0.406,5.57e-06,0.882,129.935
10 De Coleccion,0.731,0.685,-3.736,0.0316,0.644,0.0,0.834,95.135
10 De Colección,0.66275,0.579,-8.649750000000001,0.03205,0.28869999999999996,4.325e-05,0.43074999999999997,135.16825
10 Exitos De Los Freddy's,0.717,0.372,-16.721,0.0282,0.059,3.42e-06,0.727,107.066
10 Futures,0.515,0.46,-11.261,0.0436,0.891,0.14,0.259,140.067
10 Great Songs,0.612,0.443,-9.558,0.03626666666666667,0.714,1.8033333333333332e-05,0.7366666666666667,105.786
10 Hours Of Rain Sounds,0.145,0.944,-35.693,0.0373,0.914,0.698,1e-05,55.511
10 Jaar Lawinegevaar,0.6715,0.9536999999999999,-3.482,0.0925,0.21821000000000002,0.00246,0.7116,139.0887
10 Jahre Gute Unterhaltung!,0.702,0.9624999999999999,-3.699,0.0799,0.08025,0.01553,0.6945,131.38400000000001
10 Johr Stimmung Us Kölle,0.706,0.545,-12.093,0.0686,0.228,0.0,0.706,126.245
10 Tahun di Barisan,0.361,0.828,-2.687,0.0625,0.184,0.0,0.566,172.974
10 Years - The Best Of,0.247,0.598,-4.52775,0.03945,0.51925,0.00058452,0.2695,124.687
10 Years Compilation,0.806,0.96,-5.364999999999999,0.0487,0.00522,0.8690000000000001,0.868,127.99399999999999
10 Years Da Tweekaz - The Definitive Collection,0.5035000000000001,0.881,-3.7435,0.04885,0.0277,0.009425,0.2775,150.0215
10 Years Diynamic,0.761,0.671,-13.346,0.0418,0.513,0.917,0.119,120.003
10 Years Gone,0.17553333333333332,0.9093333333333332,-5.7749999999999995,0.08723333333333333,1.0173333333333333e-05,0.9073333333333333,0.1525,146.021
10 Years Noisecontrollers,0.5044000000000001,0.8788,-6.3995999999999995,0.04868,0.032614,0.46798,0.1777,149.79680000000002
10 Years of Group Therapy,0.5931428571428571,0.7983809523809524,-6.936809523809524,0.0511,0.021742557142857142,0.49992380952380955,0.1675904761904762,125.81204761904762
